"pcp-dstat 6.3.7 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server1",,,,"User:","admin"
"Cmdline:","dstat -cdnmg --top-cpu --top-io --top-mem --output dstat.csv 3",,,,"Date:","02 Jul 2025 17:19:20 UTC"
"total usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"most expensive cpu process",,"most expensive I/O process",,,"most expensive memory process",
1.750,0.500,97.502,0,2.250,0,0,29649.711,112204.689,7984072,6399020,2916,1600080,0,0,"Core app process",0.250,"python3",42891.028,282.007,"Core app process",742440
2.000,0.500,98.001,0,2.000,0,0,22521.267,50706.600,7979116,6403976,2916,1600080,0,0,"Core app process",0.500,"python3",42877.507,284.003,"Core app process",752176
1.000,0.250,98.247,0,1.000,0,12.000,22433.283,66375.878,7980356,6402716,2916,1600100,0,0,"Core app process",0.250,"python3",42893.629,288.991,"Core app process",752176
1.500,0.250,97.501,0,2.500,0,4.000,47896.604,158613.999,7980860,6402212,2916,1600100,0,0,"Core app process",0.250,"python3",42889.541,289.004,"Core app process",752176
1.249,0.750,98.194,0,2.499,0,0,19291.003,78863.044,7980860,6402212,2916,1600100,0,0,"Core app process",0.250,"python3",42872.561,281.839,"Core app process",753456
1.499,0.500,97.440,0,2.249,0,0,40394.928,123567.304,7981112,6401960,2916,1600100,0,0,"db",0.250,"python3",42870.391,281.825,"Core app process",755120
0.750,0.250,98.737,0,2.500,0,0,14491.150,40449.836,7981612,6401456,2916,1600104,0,0,"memory cache",0.250,"python3",42891.524,281.964,"Core app process",755120
1.500,0.500,97.969,0,1.749,0,0,25399.838,75189.837,7982368,6400700,2916,1600104,0,0,"python3",0.500,"python3",42883.219,288.907,"Core app process",757040
1.251,0.250,97.797,0,0.500,0,0,46184.081,154641.935,7983376,6399692,2916,1600104,0,0,"python3",0.500,"python3",42913.517,282.135,"Core app process",758192
1.751,0.250,98.038,0,2.501,0,0,23224.905,76893.483,7983880,6399188,2916,1600104,0,0,"db",0.250,"python3",42897.448,282.108,"Core app process",758320
1.500,0.250,97.501,0,1.250,0,0,33217.316,118955.132,7983936,6399132,2916,1600104,0,0,"Core app process",0.500,"python3",42881.408,289.003,"Core app process",743724
1.250,0.500,98.000,0,2.500,0,0,23224.933,54825.842,7983880,6399188,2916,1600104,0,0,"docker-proxy",0.500,"python3",42896.876,281.999,"Core app process",744748
2.000,0.250,98.273,0,2.251,0,0,24160.758,73817.591,7983880,6399188,2916,1600104,0,0,"Core app process",0.500,"python3",42902.224,282.067,"Core app process",744196
1.500,0.500,97.491,0,2.250,0,0,52511.248,162019.337,7977068,6405996,2916,1600108,0,0,"Core app process",0.250,"python3",42884.119,290.974,"Core app process",744032
1.000,0.750,98.278,0,1.500,0,0,18903.477,76434.145,7977068,6405996,2916,1600108,0,0,"Core app process",0.250,"python3",42906.431,289.084,"Core app process",743728
2.000,0.500,97.502,0,3.500,0,0,35560.894,112386.824,7975808,6407256,2916,1600108,0,0,"memory cache",0.500,"python3",42898.078,282.007,"Core app process",742924
0.750,0.500,98.501,0,1.750,0,0,16466.174,45458.481,7975808,6407256,2916,1600108,0,0,"python3",0.500,"python3",42886.454,282.003,"Core app process",743368
1.000,0,98.281,0,4.251,0,0,27692.693,77566.348,7976312,6406752,2916,1600108,0,0,"db",0.500,"python3",42910.469,291.091,"Core app process",744500
2.000,0.750,97.252,0,1.750,0,0,47064.952,155939.153,7976564,6406500,2916,1600108,0,0,"Core app process",0.750,"python3",42902.867,282.006,"Core app process",743496
0.750,0.250,98.247,0,1.500,0,0,23159.265,77105.554,7976312,6406752,2916,1600108,0,0,"containerd",0.250,"python3",42888.639,281.991,"Core app process",743584
1.250,0.250,97.522,0,2.251,0,0,30939.938,116188.054,7975416,6407648,2916,1600108,0,0,"Core app process",0.750,"python3",42892.618,282.063,"Core app process",742908
1.250,0.250,97.970,0,1.749,0,0,22174.133,52851.633,7959232,6423828,2916,1600112,0,0,"docker-proxy",0.500,"python3",42872.724,283.912,"Core app process",753076
1.000,0,98.000,0,3.500,0,0,26383.026,75888.075,7960996,6422064,2916,1600112,0,0,"Core app process",0.500,"python3",42880.042,284.000,"Core app process",753204
1.501,0.500,97.555,0,1.501,0,0,42153.603,148859.350,7961500,6421560,2916,1600112,0,0,"memory cache",0.500,"python3",42926.035,289.162,"Core app process",753460
0.750,0.500,98.057,0,2.001,0,0,20642.928,83201.078,7962760,6420300,2916,1600112,0,0,"memory cache",0.500,"python3",42914.798,289.167,"Core app process",754740
1.750,0.250,97.243,0,2.250,0,0,36137.481,116801.857,7963264,6419796,2916,1600112,0,0,"db",0.500,"python3",42878.011,288.980,"Core app process",756404
1.751,0.500,98.535,0,2.251,0,0,17321.067,42717.964,7969564,6413496,2916,1600112,0,0,"memory cache",0.250,"python3",42930.038,282.099,"Core app process",757556
1.250,0.500,97.752,0,1.750,0,0,28578.649,78481.783,7970824,6412236,2916,1600112,0,0,"memory cache",0.250,"python3",42905.975,289.007,"Core app process",759220
1.998,0.500,97.420,0,2.498,0,0,43058.675,148060.532,7971076,6411984,2916,1600112,0,0,"docker-proxy",0.500,"python3",42885.817,281.769,"Core app process",759348
1.250,0,98.267,0,4.001,0,0,23564.183,77243.711,7971076,6411984,2916,1600112,0,0,"Core app process",0.250,"python3",42923.619,282.050,"Core app process",759348
1.500,0.500,97.506,0,2.250,0,0,32958.900,121312.992,7971076,6411984,2916,1600112,0,0,"memory cache",0.500,"python3",42913.473,282.016,"Core app process",745796
1.250,0.250,97.531,0,1.250,0,0,22634.115,54785.222,7971076,6411984,2916,1600112,0,0,"Core app process",0.750,"python3",42944.500,282.089,"Core app process",745960
1.000,0.500,97.478,0,2.000,0,0,24307.476,73229.357,7971076,6411984,2916,1600112,0,0,"Core app process",0.500,"python3",42895.251,281.936,"Core app process",744812
1.500,0.750,97.222,0,2.249,0,0,44384.998,152285.389,7971076,6411984,2916,1600112,0,0,"Core app process",0.500,"python3",42710.488,281.917,"Core app process",745196
1.250,0.500,97.980,0,2.000,0,0,18990.038,79547.404,7973596,6409464,2916,1600112,0,0,"Pronghorn Workf",0.250,"python3",42719.088,288.940,"Core app process",745048
2.500,0.500,97.253,0,2.500,0,0,39231.224,119837.739,7973596,6409464,2916,1600112,0,0,"python3",0.500,"python3",42729.333,289.009,"Core app process",745244
0.750,0.500,98.503,0,1.750,0,0,16572.447,44513.200,7973596,6409464,2916,1600112,0,0,"Core app process",0.250,"python3",42736.152,289.008,"Core app process",744696
1.250,0.250,97.751,0,0.750,0,0,25284.137,73572.398,7973596,6409464,2916,1600112,0,0,"Core app process",0.250,"python3",42723.231,289.002,"Core app process",745560
2.000,0.750,97.498,0,3.750,0,0,44639.014,151208.659,7973596,6409464,2916,1600112,0,0,"memory cache",0.500,"python3",42722.056,281.994,"Core app process",744864
0.750,0.250,98.248,0,1.500,0,0,23139.468,76520.240,7973596,6409464,2916,1600112,0,0,"db",0.250,"python3",42716.018,283.993,"Core app process",745460
1.500,0.500,97.728,0,2.499,0,0,33127.478,121424.428,7973004,6410052,2916,1600116,0,0,"Core app process",0.500,"python3",42721.299,281.936,"Core app process",744808
13.253,0.750,85.266,0,1.500,0,0,121255.883,112930.311,7965596,6417456,2916,1600120,0,0,"Core app process",12.752,"python3",42731.064,284.054,"Core app process",749864
1.500,0.250,97.974,0,3.749,0,0,24771.319,72813.361,7966096,6416952,2916,1600124,0,0,"memory cache",0.500,"python3",42697.484,281.924,"Core app process",749864
29.509,3.001,66.521,0,0.250,0,0,37096304.686,198423.800,8133296,6249752,2916,1600124,0,0,"Core app process",30.510,"python3",42747.745,289.093,"Core app process",891768
0.750,0.500,98.238,0,1.250,0,4.000,25430.995,84026.070,8096724,6286324,2916,1600124,0,0,"python3",0.500,"python3",42711.952,283.966,"Core app process",790136
1.750,0.500,97.499,0,2.250,0,0,36835.725,116385.131,8096788,6286260,2916,1600124,0,0,"memory cache",0.500,"python3",42730.681,281.998,"Core app process",790136
1.000,0.500,98.456,0,2.999,0,0,18385.692,47976.321,8091748,6291300,2916,1600124,0,0,"memory cache",0.250,"python3",42706.702,288.869,"Core app process",790136
1.000,0.500,98.002,0,1.500,0,0,30290.546,95535.722,8088976,6294072,2916,1600124,0,0,"db",0.250,"python3",42729.770,289.005,"Core app process",790136
1.500,0,97.219,0,0.750,0,0,43234.324,145607.942,8084936,6298108,2916,1600128,0,0,"Core app process",0.250,"python3",42709.490,283.910,"Core app process",790264
1.751,0,98.279,0,1.500,0,0,28226.423,80546.037,8062600,6320444,2916,1600128,0,0,"docker-proxy",0.500,"python3",42731.752,282.084,"Core app process",777704
1.999,0.500,97.969,0,7.997,0,0,25786.905,95563.999,8059016,6324028,2916,1600128,0,0,"Core app process",0.250,"python3",42711.591,281.911,"Core app process",777704
1.749,0.250,97.718,0,1.250,0,0,22153.716,53064.554,8057504,6325540,2916,1600128,0,0,"Core app process",0.500,"python3",42710.958,281.907,"Core app process",777704
1.500,0.250,97.530,0,1.751,0,0,30642.310,98840.031,8056748,6326296,2916,1600128,0,0,"Core app process",0.750,"python3",42741.987,282.086,"Core app process",777704
1.499,0.500,97.463,0,0.750,0,0,42384.048,149601.694,8053976,6329068,2916,1600128,0,0,"memory cache",0.250,"python3",42708.926,288.891,"Core app process",777704
16.500,2.000,81.001,0,5.000,0,6884.043,27662.171,87030.538,8007604,6375440,2916,1600128,0,0,"Core app process",14.500,"python3",42721.264,282.002,"Core app process",732672
1.250,0.500,97.779,0,1.500,0,16.005,37154.854,98510.777,8003320,6379724,2916,1600128,0,0,"docker-proxy",0.500,"python3",42738.485,282.082,"Core app process",732460
1.000,0.500,98.029,0,1.751,0,4.001,20157.018,46148.779,7996768,6386276,2916,1600128,0,0,"Pronghorn Autom",0.500,"python3",42739.761,289.086,"Core app process",732200
1.250,0.250,97.747,0,5.000,0,0,30969.081,98921.065,7990184,6392856,2916,1600132,0,0,"memory cache",0.500,"python3",42921.726,288.991,"Core app process",732384
2.500,0.250,97.249,0,2.250,0,20.000,47443.718,154947.078,7987636,6395404,2916,1600132,0,0,"Core app process",0.750,"python3",42915.745,281.998,"Core app process",731448
0.750,0.500,97.498,0,0.750,0,0,26407.394,78278.203,7986376,6396664,2916,1600132,0,0,"Core app process",0.250,"python3",42904.015,281.994,"Core app process",731488
2.000,0.250,97.498,0,2.000,0,0,26429.496,96043.170,7985620,6397420,2916,1600132,0,0,"Core app process",0.750,"python3",42928.182,281.995,"Core app process",732372
0.750,0.500,98.220,0,2.249,0,0,18873.273,47773.504,7969876,6413164,2916,1600132,0,0,"Core app process",0.500,"python3",42894.984,283.914,"Core app process",744268
1.748,0.499,97.896,0,1.249,0,0,30236.959,96541.697,7970604,6412436,2916,1600132,0,0,"memory cache",0.499,"python3",42868.573,281.701,"Core app process",744268
2.250,0.500,97.500,0,0.750,0,0,45599.819,155649.383,7971104,6411932,2916,1600136,0,0,"Core app process",0.250,"python3",42920.830,288.999,"Core app process",744268
1.000,0.500,98.249,0,3.250,0,0,20545.869,69633.557,7971104,6411932,2916,1600136,0,0,"Core app process",0.250,"python3",42923.727,281.998,"Core app process",745292
1.500,0.750,97.749,0,1.750,0,0,31045.768,90119.327,7971856,6411176,2916,1600140,0,0,"memory cache",0.500,"python3",42918.679,288.998,"Core app process",747084
1.000,0.500,98.722,0,1.999,0,0,18508.744,56417.980,7973684,6409348,2916,1600140,0,0,"Pronghorn Servi",0.250,"python3",42727.868,281.920,"Core app process",737776
2.750,1.250,96.249,0,1.250,0,0,33675.488,99965.480,7973924,6409108,2916,1600140,0,0,"docker-proxy",0.500,"python3",45110.314,288.996,"Core app process",736680
1.500,0.500,97.250,0,1.000,0,0,44144.127,142608.410,7974424,6408604,2916,1600144,0,0,"Core app process",0.500,"python3",43085.124,289.001,"Core app process",736836
1.000,0,98.293,0,2.001,0,12.005,21739.516,61823.061,7974424,6408604,2916,1600144,0,0,"db",0.250,"python3",43090.861,291.127,"Core app process",736696
1.750,0.500,97.495,0,1.500,0,0,30159.520,110854.561,7974424,6408604,2916,1600144,0,0,"Core app process",0.500,"python3",42713.904,281.986,"Core app process",737652
6.001,0.500,93.008,0,0.500,0,0,22758.977,66435.770,7974424,6408604,2916,1600144,0,0,"Pronghorn NSOMa",4.750,"python3",42710.709,282.024,"Core app process",737356
1.500,0.250,97.778,0,1.000,0,0,28783.120,95911.057,7974420,6408604,2916,1600148,0,0,"Core app process",0.250,"python3",42748.060,282.080,"Core app process",736704
1.750,0.250,97.487,0,0.750,0,7.999,38522.841,133992.055,7974420,6408604,2916,1600148,0,0,"Pronghorn Servi",0.500,"python3",42701.281,281.962,"Core app process",737288
1.000,0,98.250,0,4.250,0,0,16178.062,63260.241,7974420,6408604,2916,1600148,0,0,"python3",0.500,"python3",42713.163,289.001,"Core app process",736960
3.752,1.000,94.546,0.500,0.750,0,6899.337,33566.236,104556.573,7978448,6404576,2916,1600148,0,0,"memory cache",0.500,"python3",42747.677,282.136,"Core app process",737036
0.750,0.250,98.531,0,2.001,0,0,19418.116,57111.989,7978448,6404576,2916,1600148,0,0,"db",0.250,"python3",42743.463,282.089,"Core app process",737392
2.250,0.250,97.751,0,1.500,0,0,28694.228,83716.664,7979200,6403820,2916,1600152,0,0,"Core app process",0.250,"python3",42559.338,291.002,"Core app process",737548
19.995,1.000,77.979,0,0.750,0,0,8016744.221,129714.151,7973924,6409096,2916,1600152,0,0,"Core app process",19.745,"python3",42525.575,281.924,"Core app process",755904
25.000,0.500,73.000,0,0.750,0,0,16797.888,45949.694,7973924,6409096,2916,1600152,0,0,"Core app process",24.750,"python3",42536.717,288.998,"Core app process",756032
25.500,0.250,72.749,0,0.250,0,0,17762.697,67744.846,7973924,6409096,2916,1600152,0,0,"Core app process",25.000,"python3",42536.275,281.995,"Core app process",756160
26.000,0.500,73.249,0,1.000,0,0,18588.832,45863.585,7973924,6409096,2916,1600152,0,0,"Core app process",24.750,"python3",42719.614,288.997,"Core app process",756160
26.005,0.500,73.264,0,0.250,0,0,16444.205,52564.245,7973728,6409292,2916,1600152,0,0,"Core app process",24.755,"python3",42718.326,280.055,"Core app process",756416
25.999,0.250,72.498,0,0.500,0,0,23887.377,78177.961,7974176,6408844,2916,1600152,0,0,"Core app process",24.749,"python3",42708.886,288.992,"Core app process",756544
25.990,0.250,73.223,0,0.750,0,0,10911.998,48046.379,7989864,6393156,2916,1600152,0,0,"Core app process",24.741,"python3",42709.337,283.896,"Core app process",776444
27.250,0.500,72.500,0,0,0,0,23043.887,68445.666,7990872,6392148,2916,1600152,0,0,"Core app process",24.750,"python3",42709.791,283.999,"Core app process",776700
26.251,0.250,72.501,0,0,0,0,11907.235,38213.754,7996920,6386100,2916,1600152,0,0,"Core app process",24.750,"python3",42726.843,289.006,"Core app process",776700
25.998,0,72.994,0,0.750,0,145.987,22216.073,58706.909,7999944,6383076,2916,1600152,0,0,"Core app process",24.748,"python3",42712.296,283.975,"Core app process",776956
25.750,0.750,72.749,0,0.750,0,0,25415.703,78261.084,7999944,6383076,2916,1600152,0,0,"Core app process",25.000,"python3",42709.500,281.997,"Core app process",777084
28.989,2.749,68.224,0,1.000,0,0,48025511.615,796725.663,8068932,6314088,2916,1600152,0,0,"Core app process",26.490,"python3",42708.418,281.891,"Core app process",836700
2.250,0.500,97.499,0,0.500,0,0,37834.636,130270.747,8036584,6346432,2916,1600156,0,0,"Core app process",0.500,"python3",42712.589,290.997,"Core app process",821204
33.250,3.500,62.500,0,1.250,0,0,62699044.045,1232305.988,8062536,6320472,2916,1600164,0,0,"Core app process",33.250,"python3",42729.104,282.001,"Core app process",834892
1.750,0,97.750,0,5.000,0,0,28735.081,89204.251,8063040,6319968,2916,1600164,0,0,"Core app process",0.250,"python3",42719.120,282.001,"Core app process",834892
12.999,2.500,83.994,0,0.250,0,0,37079579.217,183738.062,8187664,6195344,2916,1600164,0,0,"Core app process",12.749,"python3",42719.759,283.978,"Core app process",937288
46.980,5.748,46.481,0,0.750,0,15.993,93181214.367,991958.832,8108768,6274232,2916,1600172,0,0,"Core app process",41.233,"python3",42698.258,283.882,"Core app process",888940
1.999,0.500,97.463,0,1.250,0,0,47402.089,135390.843,8193316,6189684,2916,1600172,0,0,"python3",0.500,"python3",42701.865,283.893,"Core app process",953468
22.493,2.749,73.727,0,0.250,0,3.999,33578310.203,1163529.298,8116236,6266756,2916,1600180,0,0,"Core app process",22.993,"python3",42699.579,290.909,"Core app process",838544
8.003,2.251,89.529,0,1.250,0,161.052,37111300.186,187032.166,8201188,6181800,2916,1600184,0,0,"Core app process",8.003,"python3",42724.744,284.091,"Core app process",969956
30.513,5.252,63.526,0,0.500,0,0,125421660.540,4031838.112,8146644,6236332,2916,1600196,0,0,"Core app process",23.510,"python3",42746.707,284.118,"Core app process",869848
56.251,5.750,36.501,0,0,0,88.001,84492622.295,21446149.950,8252192,6130768,2916,1600212,0,0,"Core app process",32.501,"python3",42712.711,284.005,"Core app process",918444
40.249,3.000,55.249,0,0.750,0,0,42389017.562,238540.278,8406372,5976584,2916,1600216,0,0,"Pronghorn Autom",25.250,"python3",42709.334,283.996,"Core app process",1016020
57.233,5.248,36.989,0,0.250,0,0,42646481.630,38730751.552,8621868,5761084,2916,1600220,0,0,"Core app process",46.736,"python3",42718.204,290.913,"Core app process",942216
34.010,3.751,61.768,0,0.500,0,0,64239597.952,596926.977,8343848,6039072,2916,1600252,0,0,"Core app process",34.260,"python3",42722.452,282.082,"Core app process",839000
16.993,0.750,81.965,0,1.000,0,0,35353.007,113728.767,8390336,5992580,2916,1600256,0,0,"Core app process",16.243,"python3",42703.889,290.877,"Core app process",817776
1.500,0.500,97.752,0,1.750,0,0,5318192.984,97201.626,8249692,6133224,2916,1600256,0,0,"Core app process",0.500,"python3",42707.715,284.005,"Core app process",820464
1.000,0,97.503,0,4.500,0,0,39221.226,115049.596,8203776,6179140,2916,1600256,0,0,"python3",0.500,"python3",42738.336,291.009,"Core app process",820848
1.000,0,98.500,0,1.000,0,0,19008.060,63406.200,8197980,6184936,2916,1600256,0,0,"db",0.500,"python3",42731.135,289.001,"Core app process",820848
1.000,0.500,97.763,0,4.251,0,162.021,29751.839,91151.763,8188940,6193976,2916,1600256,0,0,"Core app process",0.250,"python3",42728.514,284.037,"Core app process",820848
21.746,2.000,76.235,0,0.750,0,0,38906667.692,1249219.882,8151336,6231576,2916,1600260,0,0,"Core app process",19.246,"python3",42707.347,283.942,"Core app process",923320
0.750,0.250,97.515,0,0.500,0,16.002,33092.955,96144.397,8113216,6269696,2916,1600260,0,0,"memory cache",0.500,"python3",42727.398,291.044,"Core app process",876388
2.001,0.500,97.779,0,2.001,0,0,26763.074,100986.465,8113212,6269696,2916,1600264,0,0,"memory cache",0.500,"python3",42735.892,289.087,"Core app process",876388
2.001,0,97.780,0,3.001,0,0,24374.376,72962.080,8113464,6269444,2916,1600264,0,0,"Core app process",0.250,"python3",42734.932,282.085,"Core app process",879100
1.751,0.500,98.040,0,0.500,0,0,26239.642,92447.492,8113464,6269444,2916,1600264,0,0,"Core app process",0.500,"python3",42728.329,289.117,"Core app process",879228
1.750,0,97.983,0,1.750,0,0,38307.177,122646.154,8113464,6269444,2916,1600264,0,0,"docker-proxy",0.500,"python3",42717.391,281.950,"Core app process",879228
3.499,0.750,95.472,0,0.750,0,0,21178538.435,113591.258,8065880,6317028,2916,1600264,0,0,"Core app process",2.249,"python3",42703.691,283.918,"Core app process",828504
1.500,0.250,97.500,0,3.000,0,0,33285.981,102447.941,8066524,6316384,2916,1600264,0,0,"Core app process",0.500,"python3",42723.975,284.000,"Core app process",826772
2.001,0.500,98.285,0,1.501,0,0,20508.354,66194.738,8072672,6310232,2916,1600268,0,0,"Core app process",0.500,"python3",42734.325,291.104,"Core app process",826956
0.750,0.250,97.997,0,1.000,0,185.995,29305.250,88015.748,7956560,6426340,2916,1600272,0,0,"Core app process",0.250,"python3",42712.907,283.993,"Core app process",677720
1.000,0.250,97.727,0,1.750,0,0,41509.230,119886.782,7941304,6441596,2916,1600272,0,0,"Core app process",0.500,"python3",42731.942,283.933,"Core app process",694064
1.499,0.500,97.459,0,1.499,0,0,30459.216,96486.504,7941304,6441596,2916,1600272,0,0,"Core app process",0.500,"python3",42701.078,281.882,"Core app process",694064
1.750,0.750,97.509,0,1.750,0,24.002,27351.478,103275.356,7933032,6449868,2916,1600272,0,0,"Core app process",0.500,"python3",42724.870,284.026,"Core app process",710480
1.500,0.250,97.736,0,2.500,0,0,22484.671,69167.758,7945968,6436932,2916,1600272,0,0,"Core app process",0.500,"python3",42713.675,281.958,"Core app process",720956
29.484,3.998,65.965,0,1.999,0,15.992,80044000.574,915822.734,7965184,6417704,2916,1600284,0,0,"Core app process",27.485,"python3",42693.425,283.850,"Core app process",734900
1.250,0.500,97.498,0,0.500,0,0,40393.202,132169.389,7966580,6416220,2916,1600372,0,0,"docker-proxy",0.500,"python3",42719.156,288.994,"Core app process",735156
2.001,0.250,97.031,0,1.000,0,0,7998156.361,144713.747,7966240,6416560,2916,1600372,0,0,"Core app process",1.250,"python3",42727.507,282.089,"Core app process",737972
1.500,1.000,96.488,0,2.500,0,0,38501.099,119057.843,8135552,6247244,2916,1600376,0,0,"Core app process",1.500,"python3",42731.560,283.964,"Core app process",781508
1.250,0,98.000,0,1.500,0,4.000,17800.065,59904.217,8095640,6287156,2916,1600376,0,0,"Core app process",0.250,"python3",42713.155,282.001,"Core app process",783476
1.000,0,98.521,0,1.500,0,149.032,24823.249,68444.473,8048708,6334088,2916,1600376,0,0,"memory cache",0.500,"python3",42734.036,284.060,"Core app process",745328
2.251,0.250,97.529,0,1.250,0,0,43259.084,136827.385,8046184,6336608,2916,1600380,0,0,"Core app process",0.250,"python3",42723.922,284.086,"Core app process",747184
1.249,0,97.710,0,1.000,0,0,29713.801,94859.056,8043648,6339144,2916,1600380,0,0,"memory cache",0.500,"python3",42687.475,283.883,"Core app process",742956
27.991,2.749,68.229,0,2.499,0,0,19885597.005,19973674.393,8269560,6113224,2916,1600388,0,0,"Core app process",23.493,"python3",42712.610,281.912,"Core app process",802092
1.250,0.250,97.536,0,1.250,0,60.022,24071.960,70488.237,8234204,6148576,2916,1600392,0,0,"Core app process",0.500,"python3",42726.904,284.106,"Core app process",803956
1.750,0,97.752,0,1.750,0,0,22390.431,72556.398,8164696,6218084,2916,1600392,0,0,"python3",0.500,"python3",42727.823,284.005,"Core app process",804980
3.249,1.250,95.716,0,1.999,0,0,43182.587,144810.313,8063860,6318920,2916,1600392,0,0,"Pronghorn Workf",1.499,"python3",42689.763,290.896,"Core app process",804204
4.253,1.001,93.560,0,0.750,0,0,18915016.288,421282.462,8037288,6345488,2916,1600396,0,0,"Core app process",3.002,"python3",42751.548,289.186,"Core app process",814332
17.500,1.000,80.752,0,1.750,0,0,10753653.518,245350.853,8012148,6370624,2916,1600400,0,0,"Core app process",16.000,"python3",42732.019,284.007,"Core app process",776332
5.249,1.250,91.738,0.250,2.500,0,7051.091,16097843.779,287350.957,8007684,6375088,2916,1600400,0,0,"Core app process",2.250,"python3",42719.493,290.962,"Core app process",778972
9.747,1.000,88.476,0,0.750,0,0,37395095.915,450473.464,7981488,6401280,2916,1600404,0,0,"Core app process",7.998,"python3",42708.477,281.924,"Core app process",782040
7.505,1.251,90.061,0,0.751,0,0,32282382.384,608334.659,7978380,6404384,2916,1600408,0,0,"Core app process",5.254,"python3",42745.856,291.197,"Core app process",772532
4.249,1.000,94.469,0,1.250,0,0,16104213.105,310415.418,7987216,6395548,2916,1600408,0,0,"Core app process",2.249,"python3",42712.885,281.907,"Core app process",779628
5.000,1.250,94.007,0,3.000,0,0,16112026.877,325502.281,7995960,6386804,2916,1600408,0,0,"Core app process",3.000,"python3",42720.187,284.021,"Core app process",789192
26.006,2.251,70.016,0,0.750,0,0,32263725.481,670111.261,8025568,6357188,2916,1600416,0,0,"Pronghorn Opera",20.005,"python3",42729.964,284.066,"Core app process",791636
17.500,1.500,80.998,0,0.750,0,51.999,10833320.321,386754.514,8056936,6325816,2916,1600420,0,0,"Core app process",16.000,"python3",42725.173,283.995,"Core app process",773180
2.000,0.500,97.001,0,0.500,0,0,39416.373,133181.262,8056936,6325816,2916,1600420,0,0,"python3",0.500,"python3",42714.405,289.003,"Core app process",773180
46.237,4.499,47.986,0,1.000,0,0,86997520.728,1069405.499,8162408,6220316,2916,1600448,0,0,"Core app process",32.991,"python3",42709.759,290.917,"Core app process",809004
1.750,0,96.752,0,3.000,0,0,5364785.095,167170.901,8189228,6193496,2916,1600448,0,0,"Core app process",0.500,"python3",42733.742,291.005,"Core app process",831168
18.000,2.750,78.750,0,1.000,0,16.000,56581426.067,779644.336,8181740,6200976,2916,1600456,0,0,"Core app process",15.500,"python3",42718.799,283.999,"Core app process",866684
1.250,0.500,98.244,0,1.750,0,0,25810.388,74179.368,8225684,6157032,2916,1600456,0,0,"memory cache",0.250,"python3",42732.332,290.982,"Core app process",903148
1.498,0,97.649,0,0.499,0,0,41806.905,131396.556,8225936,6156780,2916,1600456,0,0,"memory cache",0.499,"python3",42673.012,288.702,"Core app process",903276
1.000,0.250,97.788,0,2.501,0,0,29943.693,89901.105,8225932,6156780,2916,1600460,0,0,"Pronghorn Infob",0.500,"python3",42739.689,284.111,"Core app process",903276
4.251,1.000,94.777,0,0.750,0,0,10711165.565,218122.592,8190808,6191904,2916,1600460,0,0,"Core app process",2.501,"python3",42723.064,284.080,"Core app process",910432
